Type of crack,Crack length,a,b,t/b,Type of BCs,kx,ky,Omega
0,0.3,1,1,0.001,1,0.5,50,4.4786
0,0.3,1,1,0.001,1,1,0,6.2859
0,0.3,1,1,0.001,1,1,0.5,5.0689
0,0.3,1,1,0.001,1,1,1,4.7376
0,0.3,1,1,0.001,1,1,5,4.483
0,0.3,1,1,0.001,1,1,50,4.4786
0,0.3,1,1,0.001,1,5,0,4.768
0,0.3,1,1,0.001,1,5,0.5,4.5941
0,0.3,1,1,0.001,1,5,1,4.5306
0,0.3,1,1,0.001,1,5,5,4.4793
0,0.3,1,1,0.001,1,5,50,4.4786
0,0.3,1,1,0.001,1,50,0,4.5153
0,0.3,1,1,0.001,1,50,0.5,4.4922
0,0.3,1,1,0.001,1,50,1,4.4839
0,0.3,1,1,0.001,1,50,5,4.4786
0,0.3,1,1,0.001,1,50,50,4.4786
0,0.5,1,1,0.001,1,0,0,10.331
0,0.5,1,1,0.001,1,0,0.5,5.5118
0,0.5,1,1,0.001,1,0,1,4.7959
0,0.5,1,1,0.001,1,0,5,4.3196
0,0.5,1,1,0.001,1,0,50,4.3117
0,0.5,1,1,0.001,1,0.5,0,7.1258
0,0.5,1,1,0.001,1,0.5,0.5,5.0843
0,0.5,1,1,0.001,1,0.5,1,4.6382
0,0.5,1,1,0.001,1,0.5,5,4.3172
0,0.5,1,1,0.001,1,0.5,50,4.3117
0,0.5,1,1,0.001,1,1,0,6.0183
0,0.5,1,1,0.001,1,1,0.5,4.8536
0,0.5,1,1,0.001,1,1,1,4.5472
0,0.5,1,1,0.001,1,1,5,4.3156
0,0.5,1,1,0.001,1,1,50,4.3117
0,0.5,1,1,0.001,1,5,0,4.5785
0,0.5,1,1,0.001,1,5,0.5,4.4172
0,0.5,1,1,0.001,1,5,1,4.359
0,0.5,1,1,0.001,1,5,5,4.3123
0,0.5,1,1,0.001,1,5,50,4.3117
0,0.5,1,1,0.001,1,50,0,4.3451
0,0.5,1,1,0.001,1,50,0.5,4.324
0,0.5,1,1,0.001,1,50,1,4.3165
0,0.5,1,1,0.001,1,50,5,4.3117
0,0.5,1,1,0.001,1,50,50,4.3117
0,0.7,1,1,0.001,1,0,0,9.7018
0,0.7,1,1,0.001,1,0,0.5,5.0865
0,0.7,1,1,0.001,1,0,1,4.4293
0,0.7,1,1,0.001,1,0,5,4.0075
0,0.7,1,1,0.001,1,0,50,4.0009
0,0.7,1,1,0.001,1,0.5,0,6.6809
0,0.7,1,1,0.001,1,0.5,0.5,4.7018
0,0.7,1,1,0.001,1,0.5,1,4.2896
0,0.7,1,1,0.001,1,0.5,5,4.0055
0,0.7,1,1,0.001,1,0.5,50,4.0009
0,0.7,1,1,0.001,1,1,0,5.6389
0,0.7,1,1,0.001,1,1,0.5,4.4952
0,0.7,1,1,0.001,1,1,1,4.2098
0,0.7,1,1,0.001,1,1,5,4.0042
0,0.7,1,1,0.001,1,1,50,4.0009
0,0.7,1,1,0.001,1,5,0,4.2738
0,0.7,1,1,0.001,1,5,0.5,4.1028
0,0.7,1,1,0.001,1,5,1,4.0451
0,0.7,1,1,0.001,1,5,5,4.0014
0,0.7,1,1,0.001,1,5,50,4.0009
0,0.7,1,1,0.001,1,50,0,4.0346
0,0.7,1,1,0.001,1,50,0.5,4.013
0,0.7,1,1,0.001,1,50,1,4.0055
0,0.7,1,1,0.001,1,50,5,4.0009
0,0.7,1,1,0.001,1,50,50,4.0009
0,0.9,1,1,0.001,1,0,0,9.3899
0,0.9,1,1,0.001,1,0,0.5,4.8991
0,0.9,1,1,0.001,1,0,1,4.2663
0,0.9,1,1,0.001,1,0,5,3.8653
0,0.9,1,1,0.001,1,0,50,3.8593
0,0.9,1,1,0.001,1,0.5,0,6.4955
0,0.9,1,1,0.001,1,0.5,0.5,4.5385
0,0.9,1,1,0.001,1,0.5,1,4.1356
0,0.9,1,1,0.001,1,0.5,5,3.8635
0,0.9,1,1,0.001,1,0.5,50,3.8593
0,0.9,1,1,0.001,1,1,0,5.4888
0,0.9,1,1,0.001,1,1,0.5,4.3435
0,0.9,1,1,0.001,1,1,1,4.0607
0,0.9,1,1,0.001,1,1,5,3.8623
0,0.9,1,1,0.001,1,1,50,3.8593
0,0.9,1,1,0.001,1,5,0,4.1613
0,0.9,1,1,0.001,1,5,0.5,3.968
0,0.9,1,1,0.001,1,5,1,3.9045
0,0.9,1,1,0.001,1,5,5,3.8597
0,0.9,1,1,0.001,1,5,50,3.8593
0,0.9,1,1,0.001,1,50,0,3.9004
0,0.9,1,1,0.001,1,50,0.5,3.873
0,0.9,1,1,0.001,1,50,1,3.8642
0,0.9,1,1,0.001,1,50,5,3.8593
0,0.9,1,1,0.001,1,50,50,3.8593
0,0.1,1,1,0.01,1,0,0,10.657
0,0.1,1,1,0.01,1,0,0.5,5.7632
0,0.1,1,1,0.01,1,0,1,5.0049
0,0.1,1,1,0.01,1,0,5,4.4855
0,0.1,1,1,0.01,1,0,50,4.4766
0,0.1,1,1,0.01,1,0.5,0,7.4361
0,0.1,1,1,0.01,1,0.5,0.5,5.3183
0,0.1,1,1,0.01,1,0.5,1,4.8367
0,0.1,1,1,0.01,1,0.5,5,4.4828
0,0.1,1,1,0.01,1,0.5,50,4.4766
0,0.1,1,1,0.01,1,1,0,6.2928
0,0.1,1,1,0.01,1,1,0.5,5.0707
0,0.1,1,1,0.01,1,1,1,4.7374
0,0.1,1,1,0.01,1,1,5,4.481
0,0.1,1,1,0.01,1,1,50,4.4766
0,0.1,1,1,0.01,1,5,0,4.7682
0,0.1,1,1,0.01,1,5,0.5,4.593
0,0.1,1,1,0.01,1,5,1,4.5291
0,0.1,1,1,0.01,1,5,5,4.4773
0,0.1,1,1,0.01,1,5,50,4.4766
0,0.1,1,1,0.01,1,50,0,4.5139
0,0.1,1,1,0.01,1,50,0.5,4.4905
0,0.1,1,1,0.01,1,50,1,4.482
0,0.1,1,1,0.01,1,50,5,4.4766
0,0.1,1,1,0.01,1,50,50,4.4766
0,0.3,1,1,0.01,1,0,0,10.631
0,0.3,1,1,0.01,1,0,0.5,5.7426
0,0.3,1,1,0.01,1,0,1,4.9887
0,0.3,1,1,0.01,1,0,5,4.4735
0,0.3,1,1,0.01,1,0,50,4.4647
0,0.3,1,1,0.01,1,0.5,0,7.4044
0,0.3,1,1,0.01,1,0.5,0.5,5.2989
0,0.3,1,1,0.01,1,0.5,1,4.8214
0,0.3,1,1,0.01,1,0.5,5,4.4708
0,0.3,1,1,0.01,1,0.5,50,4.4647
0,0.3,1,1,0.01,1,1,0,6.2652
0,0.3,1,1,0.01,1,1,0.5,5.0532
0,0.3,1,1,0.01,1,1,1,4.723
